X,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County,ctId
1,1,1400000US17031160502,1,0.134007889,0.119769855,-0.038159379,0.239317933,-0.172195174,-4.43E-05,0.388657845,0.218147448,-0.124437184,-0.000101684,0.844935153,41.9555841,-87.7130876,"Census Tract 1605.02, Cook County, Illinois",Cook,Cook Illinois,17031160502
1,1,1400000US17031140702,1,-0.073783108,0.088366008,-0.153994848,0.184731931,-0.178019707,0.023059257,0.348274635,0.152258983,-0.114621787,0.012748685,0.628684798,41.9635482,-87.7135753,"Census Tract 1407.02, Cook County, Illinois",Cook,Cook Illinois,17031140702
1,1,1400000US17031842000,2,-0.332962881,-0.6,-0.018618836,0.177052314,-0.239234965,0.080246914,0.259433962,0.196226415,0.082391195,-0.024556948,0.546823442,41.8349599,-87.6251704,"Census Tract 8420, Cook County, Illinois",Cook,Cook Illinois,17031842000
1,1,1400000US17031150402,3,-0.068756935,-0.034236466,-0.002034103,0.13643446,-0.076287071,0.112164312,0.264849969,0.230863442,-0.064256325,0.046368803,1.017646625,41.9567979,-87.7720436,"Census Tract 1504.02, Cook County, Illinois",Cook,Cook Illinois,17031150402
1,1,1400000US17031834400,1,0.138608143,0.222917971,-0.0921501,-0.108151265,-0.102621246,-0.065492422,0.224110032,0.103559871,-0.261168009,0.142961823,0.546823442,41.7769448,-87.5963097,"Census Tract 8344, Cook County, Illinois",Cook,Cook Illinois,17031834400
1,1,1400000US17031040201,2,-0.240453676,0.013632536,-0.063637605,0.111381094,-0.166531159,0.071411621,0.343717186,0.211585579,-0.230389644,-0.042213339,0.317413594,41.9725804,-87.6940005,"Census Tract 402.01, Cook County, Illinois",Cook,Cook Illinois,17031040201
1,1,1400000US17031040202,4,-0.13526333,0.012630046,-0.07243155,-0.104976177,-0.082263021,0.085901267,0.343717186,0.211585579,-0.109175055,0.011329372,0.279150732,41.9798549,-87.694096,"Census Tract 402.02, Cook County, Illinois",Cook,Cook Illinois,17031040202
1,1,1400000US17031020702,3,0.120749965,0.073244452,0.034317724,0.041600957,-0.13157241,0.040231592,0.298882682,0.238128492,0.009227706,0.005087773,4.05031459,41.995289,-87.7053882,"Census Tract 207.02, Cook County, Illinois",Cook,Cook Illinois,17031020702
1,1,1400000US17031020802,3,-0.043151227,-0.087646898,0.1554314,0.188264123,-0.097214547,0.124760443,0.307392996,0.190203708,-0.053980278,-0.061200756,1.066953059,41.9940592,-87.6946306,"Census Tract 208.02, Cook County, Illinois",Cook,Cook Illinois,17031020802
1,1,1400000US17031020301,5,0.25944645,0.19515293,0.094065292,-0.144263392,-0.091358249,0.094251477,0.308071632,0.176745393,-0.076642166,0.059690778,2.037013386,42.0068651,-87.7051865,"Census Tract 203.01, Cook County, Illinois",Cook,Cook Illinois,17031020301
1,1,1400000US17031838700,1,-0.061809251,0.128409091,-0.05356876,0.309830264,-0.315297586,0.177919871,0.262729124,0.067888663,-0.056230544,0.020368124,0.546823442,41.8625775,-87.7201851,"Census Tract 8387, Cook County, Illinois",Cook,Cook Illinois,17031838700
1,1,1400000US17031841500,1,-0.225117826,0.054621849,-0.060441803,0.33352024,-0.373852737,0.226572701,0.222222222,0.053097345,-0.213347487,0.16338713,0.546823442,41.8616224,-87.7079132,"Census Tract 8415, Cook County, Illinois",Cook,Cook Illinois,17031841500
1,1,1400000US17031838600,1,0.375193798,0.075731497,-0.034494223,0.303513043,-0.186017391,0.163398279,0.214876033,0.099173554,-0.262022221,0.220098976,0.546823442,41.8678233,-87.7008236,"Census Tract 8386, Cook County, Illinois",Cook,Cook Illinois,17031838600
1,1,1400000US17031837300,3,-0.168029436,0.106274008,-0.085801394,0.125319285,-0.288673372,0.151291376,0.376722818,0.13323124,-0.132055453,0.05801589,0.546823442,41.8716191,-87.7055524,"Census Tract 8373, Cook County, Illinois",Cook,Cook Illinois,17031837300
1,1,1400000US17031837800,2,0.333981337,0.519903498,-0.080934503,-0.122495795,-0.017911761,-0.05110192,0.179970972,0.113207547,-0.367420138,0.1156105,0.546823442,41.8847501,-87.6841274,"Census Tract 8378, Cook County, Illinois",Cook,Cook Illinois,17031837800
1,1,1400000US17031837400,1,-0.012833169,0.236209335,-0.054528283,0.056453708,-0.257341208,0.108634155,0.228618421,0.143092105,-0.146674329,0.08608729,0.546823442,41.8759745,-87.6938013,"Census Tract 8374, Cook County, Illinois",Cook,Cook Illinois,17031837400
1,1,1400000US17031836900,2,0.244791667,0.20683112,0.046121034,0.213238878,-0.244180649,0.038938217,0.406032483,0.039443155,-0.043779581,0.053203178,0.546823442,41.8818831,-87.7061362,"Census Tract 8369, Cook County, Illinois",Cook,Cook Illinois,17031836900
1,1,1400000US17031020601,3,0.080085162,0.054893131,0.055485935,-0.097802814,-0.027523745,0.148106729,0.266995933,0.182161534,0.092858964,-0.047271475,0,42.0008746,-87.7018025,"Census Tract 206.01, Cook County, Illinois",Cook,Cook Illinois,17031020601
1,1,1400000US17031020602,3,-0.109198006,0.004244085,-0.049705573,0.321545303,-0.239860061,0.048788881,0.266995933,0.182161534,-0.026786962,-0.034556398,0.448752248,42.0013156,-87.6936373,"Census Tract 206.02, Cook County, Illinois",Cook,Cook Illinois,17031020602
1,1,1400000US17031020302,1,-0.056438127,-0.149214992,0.021215423,0.293351137,0.007676306,0.093885538,0.308071632,0.176745393,-0.005473046,-0.04394182,1.001126287,42.0085406,-87.6949634,"Census Tract 203.02, Cook County, Illinois",Cook,Cook Illinois,17031020302
1,1,1400000US17031020902,4,0.037914689,0.155773702,-0.073476604,-0.248806387,0.176591195,0.06605814,0.366657036,0.207743427,-0.004535781,0.018560266,0.674921402,41.9942499,-87.6786971,"Census Tract 209.02, Cook County, Illinois",Cook,Cook Illinois,17031020902
1,1,1400000US17031010701,2,-0.060519419,0.090300015,-0.028302786,0.211357511,-0.098885073,-0.000951318,0.365521004,0.159574468,-0.142539277,-0.012207286,0.983252655,42.0091481,-87.6786203,"Census Tract 107.01, Cook County, Illinois",Cook,Cook Illinois,17031010701
1,1,1400000US17031030103,4,0.084288373,0.089541961,-0.032104809,0.216019719,-0.207477604,-0.019874809,0.333429312,0.140368557,0.060150205,-0.118647594,1.402325457,41.9955241,-87.6551527,"Census Tract 301.03, Cook County, Illinois",Cook,Cook Illinois,17031030103
1,1,1400000US17031030102,1,-0.109350862,0.094469405,-0.012698416,0.04627216,0.022324644,0.024371811,0.333429312,0.140368557,-0.012534749,0.038111085,1.03026029,41.9930264,-87.6550225,"Census Tract 301.02, Cook County, Illinois",Cook,Cook Illinois,17031030102
1,1,1400000US17031010502,1,0.016954824,-0.001517085,0.038854067,0.145076048,-0.042214975,0.100148543,0.321687183,0.121832006,-0.09788104,0.015585556,0.9284426,42.0045171,-87.6633275,"Census Tract 105.02, Cook County, Illinois",Cook,Cook Illinois,17031010502
1,1,1400000US17031010503,1,-0.064386318,0.005471198,0.001087166,-0.028298832,-0.115284605,0.083335792,0.321687183,0.121832006,0.071946841,-0.138549306,4.579427433,42.00032,-87.6631269,"Census Tract 105.03, Cook County, Illinois",Cook,Cook Illinois,17031010503
1,1,1400000US17031010702,1,-0.16388973,-0.044319473,-0.036871652,0.242275162,-0.112974695,0.131576884,0.365521004,0.159574468,-0.107099643,-0.021758656,0.786647814,42.0090199,-87.6727257,"Census Tract 107.02, Cook County, Illinois",Cook,Cook Illinois,17031010702
1,1,1400000US17031837100,1,0.029835903,0.241025641,-0.082868492,0.178259871,-0.185261708,-0.012899979,0.38253012,0.146084337,-0.112535511,0.023203895,0.546823442,41.8856737,-87.698721,"Census Tract 8371, Cook County, Illinois",Cook,Cook Illinois,17031837100
1,1,1400000US17031837000,1,0.110688836,0.169811321,-0.077726253,0.198985252,-0.179642666,-0.029576233,0.263532764,0.084045584,-0.317882423,0.213850742,0.546823442,41.8783233,-87.6986739,"Census Tract 8370, Cook County, Illinois",Cook,Cook Illinois,17031837000
1,1,1400000US17031010201,1,-0.032786885,0.060919324,-0.063155323,0.082593812,-0.106211357,0.070163622,0.412176724,0.156788793,-0.130826196,0.03746493,0.568962698,42.0160076,-87.6801485,"Census Tract 102.01, Cook County, Illinois",Cook,Cook Illinois,17031010201
1,1,1400000US17031020901,1,-0.14864994,-0.001894207,-0.061902586,0.190466278,-0.074133221,0.107563139,0.366657036,0.207743427,-0.084315636,0.03405062,4.358364873,41.9950577,-87.6864264,"Census Tract 209.01, Cook County, Illinois",Cook,Cook Illinois,17031020901
1,1,1400000US17031040401,2,-0.133384741,-0.133738274,0.001676519,0.135818245,-0.081593462,0.046485605,0.355879292,0.162851197,-0.173109094,0.000134851,0.606597462,41.9720667,-87.6860816,"Census Tract 404.01, Cook County, Illinois",Cook,Cook Illinois,17031040401
1,1,1400000US17031210602,1,-0.284852785,-0.070725811,-0.133556155,0.223753074,-0.220357488,0.087212465,0.358176556,0.179811867,-0.044058653,-0.072788751,0.799763593,41.9341669,-87.7125728,"Census Tract 2106.02, Cook County, Illinois",Cook,Cook Illinois,17031210602
1,1,1400000US17031160501,1,-0.096735206,-0.016848147,-0.050414425,0.231898995,-0.162464292,0.061810804,0.388657845,0.218147448,-0.069194612,-0.002009273,0.906029576,41.9592098,-87.7129732,"Census Tract 1605.01, Cook County, Illinois",Cook,Cook Illinois,17031160501
1,1,1400000US17031191302,3,-0.034790189,0.073206009,0.02851499,0.121947631,-0.090142675,0.11188121,0.395213923,0.215736041,-0.05990456,0.040338479,0.591762841,41.9202289,-87.7705334,"Census Tract 1913.02, Cook County, Illinois",Cook,Cook Illinois,17031191302
1,1,1400000US17031190602,3,-0.033890131,-0.006032005,-0.082774707,0.168276821,-0.063005893,0.084656973,0.369348659,0.210344828,-0.030681064,0.016381419,0.757424071,41.9275604,-87.7707371,"Census Tract 1906.02, Cook County, Illinois",Cook,Cook Illinois,17031190602
1,1,1400000US17031840200,1,0.089441315,0.054700582,-0.00294503,-0.069397163,-0.020519182,0.009341765,0.225893235,0.183620539,-0.005192445,-0.010774337,0.546823442,41.8445748,-87.6491915,"Census Tract 8402, Cook County, Illinois",Cook,Cook Illinois,17031840200
1,1,1400000US17031530501,3,-0.211990479,0.016080001,-0.087286794,0.307435014,-0.225950562,0.132756052,0.278658397,0.204686423,-0.036648663,-0.011816441,0.546823442,41.674278,-87.632166,"Census Tract 5305.01, Cook County, Illinois",Cook,Cook Illinois,17031530501
1,1,1400000US17031831400,3,-0.305395782,-0.06053068,-0.117948499,0.179228332,-0.093605879,0.017378538,0.329598506,0.201680672,-0.010718379,0.016929781,0.546823442,41.8691188,-87.7560884,"Census Tract 8314, Cook County, Illinois",Cook,Cook Illinois,17031831400
1,1,1400000US17031831300,3,-0.143156425,-0.028169014,-0.171802047,0.135043078,-0.03153454,-0.090392597,0.315217391,0.252717391,-0.004397884,0.001563081,0.546823442,41.9077661,-87.7442596,"Census Tract 8313, Cook County, Illinois",Cook,Cook Illinois,17031831300
1,1,1400000US17031833000,5,0.437322745,0.581975072,0.002179396,-0.131559791,-0.082602799,0.005717191,0.171023965,0.171023965,-0.135756683,-0.116762318,0.546823442,41.8852883,-87.6572425,"Census Tract 8330, Cook County, Illinois",Cook,Cook Illinois,17031833000
1,1,1400000US17031760801,5,0.366602687,0.405278431,0.015644493,0.021776173,0.13676652,0.001416441,0.352324362,0.231911919,-0.131562326,-0.019808292,0.546823442,41.9834848,-87.8448472,"Census Tract 7608.01, Cook County, Illinois",Cook,Cook Illinois,17031760801
1,1,1400000US17031020701,2,0.14490161,0.259589542,-0.019026468,0.073474614,0.002901162,0.066477832,0.298882682,0.238128492,-0.185494259,0.088742107,0.646502137,41.9868915,-87.7036897,"Census Tract 207.01, Cook County, Illinois",Cook,Cook Illinois,17031020701
1,1,1400000US17031010501,2,-0.1986034,0.014843404,-0.030669909,0.011979285,-0.049680198,0.074862122,0.321687183,0.121832006,-0.211955839,0.04938539,2.876427357,42.0094117,-87.6639581,"Census Tract 105.01, Cook County, Illinois",Cook,Cook Illinois,17031010501
1,1,1400000US17031252101,1,0.002505764,0.177393868,-0.088894149,0.292596654,-0.133843143,0.094759619,0.289938817,0.154316791,-0.054057175,-0.04092119,0.369980234,41.8738791,-87.7698569,"Census Tract 2521.01, Cook County, Illinois",Cook,Cook Illinois,17031252101
1,1,1400000US17031252102,1,-0.217298684,-0.058539812,-0.082914151,0.164262555,-0.067253312,0.090950013,0.289938817,0.154316791,0.017901679,-0.041989967,0.514947618,41.8765923,-87.7598116,"Census Tract 2521.02, Cook County, Illinois",Cook,Cook Illinois,17031252102
1,1,1400000US17031252202,1,-0.172970988,0.004234056,-0.041232209,0.518866816,-0.343265941,0.10421479,0.260473588,0.174134791,-0.008359685,-0.000612357,0.618876868,41.8767584,-87.7445832,"Census Tract 2522.02, Cook County, Illinois",Cook,Cook Illinois,17031252202
1,1,1400000US17031220601,1,-0.241786326,-0.085286018,-0.036234671,0.363045121,-0.217206999,0.002311919,0.292742927,0.152214022,-0.236890517,0.078743415,0.600307935,41.9258252,-87.7128836,"Census Tract 2206.01, Cook County, Illinois",Cook,Cook Illinois,17031220601
1,1,1400000US17031210502,1,-0.058849066,0.038939829,-0.04947644,0.493192252,-0.357174837,0.075344324,0.403141361,0.138219895,-0.120056039,0.074543367,0.585690374,41.9337846,-87.7220524,"Census Tract 2105.02, Cook County, Illinois",Cook,Cook Illinois,17031210502
1,1,1400000US17031220602,1,-0.272515736,-0.016636887,-0.099488362,0.244703013,-0.145737897,0.105427533,0.292742927,0.152214022,-0.202705071,-0.060606788,0.765091418,41.9293312,-87.7119813,"Census Tract 2206.02, Cook County, Illinois",Cook,Cook Illinois,17031220602
1,1,1400000US17031220901,1,-0.193415638,0.008435259,-0.151930488,0.200903386,-0.200573407,0.074373483,0.301544051,0.160762943,-0.104996623,0.04845257,0.392264302,41.9191816,-87.7212483,"Census Tract 2209.01, Cook County, Illinois",Cook,Cook Illinois,17031220901
