,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County
1110,1110,1400000US17031826000,3,0.058410559,-0.035310734,0.036683222,-0.021937117,-0.064484742,0.075619773,0.368878357,0.151658768,-0.11291898,0.076770715,0.546823442,41.623927,-87.532361,"Census Tract 8260, Cook County, Illinois",Cook,Cook Illinois
1111,1111,1400000US17031826100,3,0.057674562,-0.048834628,0.095695807,-0.047264136,-0.054298111,0.10726057,0.339192968,0.217738714,-0.074453814,0.022630123,0.546823442,41.6083943,-87.5359016,"Census Tract 8261, Cook County, Illinois",Cook,Cook Illinois
1112,1112,1400000US17031826201,3,0.033215355,0.083120857,0.015450388,0.017894373,0.031297927,0.035240869,0.332266667,0.175466667,-0.00160784,-0.041826795,0.546823442,41.6048907,-87.564212,"Census Tract 8262.01, Cook County, Illinois",Cook,Cook Illinois
1113,1113,1400000US17031826202,3,0.096957194,-0.000878349,0.053637473,0.065952212,-0.001235866,0.036945856,0.38638413,0.234896303,-0.080295703,0.124043492,0.546823442,41.5931681,-87.5363701,"Census Tract 8262.02, Cook County, Illinois",Cook,Cook Illinois
1114,1114,1400000US17031826301,4,0.011185682,0.016,-0.003220456,0.023396325,-0.041643045,0.053895013,0.295297372,0.248271093,-0.151511477,0.120790174,0.546823442,41.6152862,-87.60649,"Census Tract 8263.01, Cook County, Illinois",Cook,Cook Illinois
1115,1115,1400000US17031826303,4,0.027292315,0.058357349,-0.034429599,0.018912472,0.052813379,0.027404496,0.303504847,0.234899329,-0.025136934,-0.043522962,0.546823442,41.6134074,-87.5914302,"Census Tract 8263.03, Cook County, Illinois",Cook,Cook Illinois
1116,1116,1400000US17031826304,3,-0.166620306,0.010252905,-0.074805298,-0.02612664,0.110562573,0.100933537,0.342733189,0.186550976,-0.038809462,0.079168112,0.546823442,41.6181611,-87.5822761,"Census Tract 8263.04, Cook County, Illinois",Cook,Cook Illinois
1117,1117,1400000US17031826401,3,-0.043027091,0.039907677,-0.049774348,0.000388242,0.009134877,0.103867464,0.343878856,0.24827941,0.034502064,-0.092567399,0.546823442,41.6389607,-87.5930136,"Census Tract 8264.01, Cook County, Illinois",Cook,Cook Illinois
1118,1118,1400000US17031826402,4,-0.071911144,0.041645655,-0.041857433,-0.011502856,-0.064704454,0.053430135,0.319327731,0.266106443,-0.027563787,0.012434028,0.546823442,41.628058,-87.5901088,"Census Tract 8264.02, Cook County, Illinois",Cook,Cook Illinois
1119,1119,1400000US17031826500,3,-0.074936624,-0.000845289,-0.001053341,-0.075788577,0.020156639,0.113496544,0.284827121,0.258207606,-0.03154238,-5.70E-05,0.546823442,41.6319154,-87.6156118,"Census Tract 8265, Cook County, Illinois",Cook,Cook Illinois
1120,1120,1400000US17031826600,4,-0.036572392,0.183137929,-0.040771635,-0.021180583,-0.03117348,0.099560071,0.390192988,0.254122063,-0.040701102,0.027105596,0.546823442,41.6363517,-87.6230152,"Census Tract 8266, Cook County, Illinois",Cook,Cook Illinois
1121,1121,1400000US17031826700,3,-0.117863426,0.113333333,-0.082193334,0.136242515,-0.053340818,0.124276447,0.303669725,0.205963303,-0.034409855,0.005287343,0.546823442,41.6362111,-87.6335585,"Census Tract 8267, Cook County, Illinois",Cook,Cook Illinois
1122,1122,1400000US17031826800,3,-0.087198261,-0.057034955,0.051454954,0.084677982,-0.057549976,0.142620934,0.328739153,0.129657989,-0.013628451,-0.024920199,0.546823442,41.6374213,-87.660002,"Census Tract 8268, Cook County, Illinois",Cook,Cook Illinois
1123,1123,1400000US17031826901,1,-0.384345794,0.015005359,-0.220646468,0.099704083,-0.094198694,0.137987507,0.3042362,0.115532734,-0.062964571,0.006016063,0.546823442,41.6210476,-87.6644798,"Census Tract 8269.01, Cook County, Illinois",Cook,Cook Illinois
1124,1124,1400000US17031826902,1,-0.517531557,0.025920873,-0.243077215,-0.030874035,0.14470454,0.263599025,0.319148936,0.085106383,0.109886717,-0.131186536,0.546823442,41.61487,-87.6640081,"Census Tract 8269.02, Cook County, Illinois",Cook,Cook Illinois
1125,1125,1400000US17031827000,3,-0.08107482,0.114164905,-0.102676154,0.055287564,0.024568864,0.090511933,0.337164751,0.176245211,0.177839635,-0.156933681,0.546823442,41.6263396,-87.6451103,"Census Tract 8270, Cook County, Illinois",Cook,Cook Illinois
1126,1126,1400000US17031827100,3,-0.205788712,0.079593565,-0.158671461,0.034953112,-0.044296675,0.200067075,0.394833948,0.204797048,-0.107723808,0.072697961,0.546823442,41.6180623,-87.6463602,"Census Tract 8271, Cook County, Illinois",Cook,Cook Illinois
1127,1127,1400000US17031827200,3,-0.038210834,0.098099326,0.020289401,-0.091658647,0.096990505,0.069560282,0.299674267,0.198697068,0.004466922,-0.039117201,0.546823442,41.6118076,-87.6268202,"Census Tract 8272, Cook County, Illinois",Cook,Cook Illinois
